# Eine Durchsicht pro Zeile:  Datum | Was war
# Zeilen mit # werden nicht angezeigt. Sortiert wird automatisch, neueste zuerst.

28.04.2026 | Nachschwarm von Veronika eingefangen, ungefähr 1,5 kg. Über Nacht in der Garage des Nachbarn abgestellt.
29.04.2026 | In der Schwarmkiste blieb alles ruhig. Nach dem Einlogieren waren nach gut einer Stunde alle Bienen in der Dadant-Beute.
30.04.2026 | 17 Grad, sonnig. Fehlbau am Königinnengitter, die Bienen sammeln sich links vom Flugloch. Gitter und Fehlbau raus, erste Fütterung mit 200 g Zuckerwasser 1:1.
02.05.2026 | 25 Grad. Die ersten zwei Rähmchen sind zu einem Drittel ausgebaut. Eine neue Wabe dazu und eine Honigwabe vom letzten Jahr.
04.05.2026 | 22 Grad, bewölkt. Ruhiges Volk, Wabe 2 zu 90 Prozent ausgebaut. Nur gefüttert.
08.05.2026 | Noch keine Brut. Vierte Wabe dazu, Behandlung mit Milchsäure.
17.05.2026 | Erste, größtenteils verdeckelte Brut und Honigkränze auf drei Waben. Weil so viel Betrieb ist, drei neue Waben auf einmal dazu.
22.05.2026 | 26 Grad. Sehr homogenes Brutbild auf sechs Waben, der Honig wird gut angenommen. Windel eingelegt.
26.05.2026 | Windel wieder raus: zwei Milben in vier Tagen.
29.05.2026 | 20 Grad. Die Brut nimmt von Wabe zu Wabe zu, dazwischen einzelne Buckelbrut. Futter aufgefressen, 800 ml 1:1 nachgelegt.
04.06.2026 | Nur Wabe 8 angeschaut: zu 70 Prozent ausgebaut und schon mit Brut. Futter komplett leer.
06.06.2026 | 24 Grad. Zum ersten Mal die Königin gesehen, auf Wabe 5: goldbrauner Leib, sonst schwarz.
07.06.2026 | Wabe 9 dazu, Honig vom Schleudern oben in der Futterbox aufgesetzt. Zwei Waben gezogen, um sie herzuzeigen.
15.06.2026 | Drei Milben auf dem Schieber. Schneckenkot auf der Windel macht die Zählung allerdings ungenau.
17.06.2026 | 19 Grad. Wabe 9 fast fertig ausgebaut, das Volk wirkt sehr stark. Zehnte und letzte Wabe für dieses Jahr dazu.
22.06.2026 | Zwölf Milben ausgezählt, macht rund 2,4 pro Tag.
23.06.2026 | Komplette Durchsicht: gleichmäßiges Brutbild, genug Stifte auf fast allen Waben, nur wenig Buckelbrut. Brutnest leicht verhonigt, weil am Vorabend gefüttert wurde.
01.07.2026 | Volk relativ groß, auf allen Waben Honigkranz und Brut. Adam-Fütterer abgenommen, Windel eingelegt.
16.07.2026 | Kaum noch Brut, keine Stifte, keine Drohnenbrut. Start der Winterfütterung mit 1,2 l 2:1.
18.07.2026 | Einzelne Stifte auf Wabe 4, die Königin sitzt gesund auf Wabe 5. Futter leer.
22.07.2026 | Ameisensäure mit dem Nassenheider-Verdunster, 290 ml.
28.07.2026 | Behandlung beendet, weil es die nächsten Tage zu heiß wird. Insgesamt 28 Milben, also 4,6 pro Tag.
04.08.2026 | Normales Brutnest, viele Bienen. Weiter mit 1,5 kg Futter 2:1.
07.08.2026 | 28 Grad und trotzdem ein normal großes Brutnest. Viel unverdeckelter Honig, schmeckt nach Wald.
13.08.2026 | 30 Grad. Brutnest intakt, Königin gesehen. Der Trog ist nach 24 Stunden jedes Mal leer.
29.08.2026 | Komplette Durchsicht. Rund 25 kg sind eingelagert, damit ist die Winterfütterung so gut wie durch.
23.09.2026 | Zweite Behandlung mit Ameisensäure, 290 ml mit dem großen Docht. Die erste im Juli wurde zu früh abgebrochen, wie stark der Befall ist, bleibt deshalb unklar. Diesmal läuft sie 10 bis 14 Tage durch.
25.09.2026 | Den Bienen geht es sichtlich gut, sie genießen die Sonne. Verdunstung geprüft: 45 ml in zwei Tagen, rund 22 ml am Tag – passt. Die Säure bleibt bis Anfang Oktober drauf.
